Solution,MSE,Pixel
[1.         0.         0.80004033 0.         0.         0.        ],0.00113415,82.45
[0. 0. 1. 0. 0. 0.],0.00113415,64.26
[0. 0. 1. 1. 1. 0.],0.00113415,82.19
[1.         1.         1.         0.15217509 0.         0.93666769],0.00113415,64.26
[0.         0.         0.         0.20982399 1.         0.        ],0.00113415,69.19
[0. 0. 1. 0. 0. 0.],0.00113415,67.47
[0.         0.         0.52654437 0.90450992 1.         0.67238693],0.00113415,64.26
[0.30939843 0.         0.29351752 0.         0.         1.        ],0.00113415,82.19
[0.         0.9805617  0.91710437 0.88789534 0.         1.        ],0.00113415,67.68
[0.         0.         0.33480586 0.         0.         0.        ],0.00113415,69.19
[0.35318357 0.55189005 0.28317201 0.89018257 0.37365866 0.62307038],0.00113415,80.96
[0.19203426 1.         0.34346292 0.         0.15742106 1.        ],0.00113415,81.33
[0.         0.         0.65292058 0.90645596 0.16303011 0.83355921],0.00113415,87.33
[0.5548632  0.24799426 0.28987955 0.16839344 0.69486483 0.73474896],0.00113415,87.33
[0.         0.         0.         1.         0.28151501 0.        ],0.00113415,65.53
[0.76636966 0.47939991 0.70693889 0.09796141 0.00220057 0.38918392],0.00113415,67.68
[0.         0.         0.         0.         0.2712509  0.48910441],0.00113415,inf
[0.90219257 1.         0.99756823 0.72939654 0.11367811 0.        ],0.00113415,80.84
[0.37715563 0.60231284 0.646534   0.28174371 0.32157777 0.25985834],0.00113415,inf
[0.24250825 0.66340226 0.18388118 0.51513328 0.07197371 0.03509368],0.00113415,66.64
[0.15439912 0.         0.         1.         0.         0.        ],0.00113415,82.08
"[4.59994936e-04 1.00000000e+00 0.00000000e+00 1.00000000e+00
 0.00000000e+00 7.98001829e-01]",0.00113415,67.54
[0.60749638 0.64323688 0.46988951 0.03546701 0.54666386 0.33601016],0.00113415,inf
[0.5169215  0.         1.         0.03555697 0.65453625 0.        ],0.00113415,67.07
[0.5191196  0.55146647 0.70813769 0.93399535 0.52474381 0.54607598],0.00113415,inf
[0.61328496 0.         0.         1.         0.47971737 0.        ],0.00113415,inf
[0.         0.         0.18112548 0.         0.71701256 0.21213549],0.00113415,inf
[0.59871863 0.48901137 0.65437459 0.19463191 0.74477144 0.35214288],0.00113415,63.28305785123967
[0.4508089  0.95333813 0.37237458 0.16115176 0.59973283 0.43043397],0.00113415,inf
[0.08172104 0.74573455 0.44384473 0.0027989  0.03692864 0.15596036],0.00113415,66.66735537190083
[0.2387551  0.49012227 0.99059556 0.18455225 0.1664795  0.028719  ],0.00113415,63.421487603305785
[0.74541611 0.78009772 0.00942926 0.67394647 0.06375803 0.26315078],0.00113415,70.72314049586777
[0.90625446 0.93407686 0.11659681 0.06526488 0.94439117 0.94093199],0.00113415,66.73347107438016
[0.0282377  0.89845145 0.7579749  0.04209982 0.48505291 0.45610636],0.00113415,61.425619834710744
[0.60610453 0.04081539 0.57956535 0.89862231 0.         0.        ],0.00113415,inf
[0.12750262 0.8548962  0.80565147 0.3027632  0.48714452 0.09659674],0.00113415,inf
[0.98714428 0.38728529 0.69986173 0.14319707 0.29742084 0.39360144],0.00113415,inf
[0.67706364 0.18203902 0.87221857 0.26286242 0.75240727 0.27389033],0.00113415,60.340909090909086
[0.86794623 0.59220604 0.34005131 0.26884272 0.88241546 0.83404198],0.00113415,62.8595041322314
[0.3739997  0.36805441 0.97220773 0.54676198 0.37866686 0.55532318],0.00113415,65.28719008264463
[0.02539784 0.7440425  0.92124419 0.72840538 0.25505855 0.26802738],0.00113415,61.654958677685954
[0.60296498 0.81712075 0.92724146 0.39203478 0.91466803 0.4210302 ],0.00113415,inf
[0.18176164 0.7892763  0.96121756 0.12120227 0.42942907 0.18671439],0.00113415,inf
[0.78910814 0.73602758 0.39613059 0.44045701 0.20952067 0.09470785],0.00113415,63.97520661157024
[0.18974466 0.62006395 0.71419745 0.69233675 0.59498864 0.4529012 ],0.00113415,71.15289256198348
[0.10274073 0.2226275  0.64966824 0.30172492 0.36276636 0.47333337],0.0005096,61.8099173553719
[0.82750157 0.11981142 0.36421856 0.13504673 0.42319307 0.09619277],inf,inf
[0.23762901 0.07512108 0.8834098  0.3750616  0.56854118 0.00252411],0.000533516,61.768595041322314
