Solution,MSE,Pixel
[0.50317952 0.2368541  1.         1.         0.8701924  0.94213052],0.00113415,82.45
[0.1207502 0.        0.        1.        0.        0.       ],0.000476558,64.26
[0.         0.13308576 1.         0.         0.         0.        ],0.00113415,82.19
[0.16306849 0.         0.65706306 0.         0.38296503 0.        ],0.000476558,64.26
[0.0124646  0.51895688 1.         0.         0.         0.        ],0.000448225,69.19
[1.         0.02089766 1.         1.         0.90360953 1.        ],0.000564606,67.47
[0.03505282 0.84303854 1.         0.         0.38966114 0.        ],0.000476558,64.26
[0.02149031 0.53774109 0.33118759 0.76552607 0.5384806  0.1253307 ],0.00113415,82.19
[0.         0.70562267 1.         1.         0.         0.        ],0.000574568,67.68
[1.         0.32944802 0.         1.         0.68521646 0.48813196],0.000448225,69.19
[0.         0.82424409 1.         0.4307491  0.         0.45018452],0.000657474,80.96
[0.04242811 0.         1.         1.         0.         1.        ],0.000984357,81.33
[0.         1.         0.         1.         0.63923947 0.20899732],0.000984357,87.33
[0.         0.         1.         0.         0.         0.72454552],0.000984357,87.33
[0.70693045 0.73668643 0.84347855 1.         0.80673694 0.        ],0.000509555,65.53
[0.         0.85588173 0.         1.         0.         0.        ],0.000574568,67.68
[1.         0.28916311 0.         1.         0.         0.51851348],0.000574568,inf
[0.         1.         0.35014627 0.         0.         0.86677837],0.00125458,80.84
[0.48642568 0.94945727 0.29369094 0.7973597  0.5637808  0.77380699],0.00125458,inf
[0.84124226 0.25912124 0.82701488 0.95663903 0.37303695 0.64721387],0.000521237,66.64
[0.82259672 0.72407317 0.20833199 0.18056445 0.81295897 0.09048351],0.00091006,82.08
[0.         0.08692543 0.55147689 1.         1.         1.        ],0.000548288,67.54
[0.43888032 0.30452015 0.59547291 0.75054177 0.34807671 0.45616146],0.000548288,inf
[0.2891618  0.37554186 0.93473862 0.72026886 0.74808035 0.20872264],0.000555768,67.07
[1.         0.41272613 0.71255941 0.03116564 1.         0.        ],0.000555768,inf
[0.4604034  0.23367678 0.19680538 0.08939405 0.20183462 0.18210507],inf,inf
[0.88194596 0.26308738 0.48916287 0.99655776 0.69027878 0.10609019],inf,inf
[0.18234711 0.         0.92522381 1.         1.         0.        ],0.000516908,63.28305785123967
[0.95844562 0.51948743 0.49925761 0.11403653 0.24682652 0.09734018],inf,inf
[0.85788388 0.47327599 0.78218743 0.46191267 0.53267414 0.17649427],0.000566849,66.66735537190083
[0.03717508 0.64294757 0.68445526 0.3473265  0.57925817 0.03426003],0.000460437,63.421487603305785
[0.2011402  0.95210588 0.94313105 0.25119895 0.56668741 0.65656437],0.000495943,70.72314049586777
[0.89516259 0.09749818 0.82227925 0.24968734 0.5185919  0.29639342],0.000579857,66.73347107438016
[0.28876179 0.65078289 0.60212011 0.03719432 0.90189371 0.21339545],0.000528929,61.425619834710744
[0.09087802 1.         0.         1.         1.         1.        ],inf,inf
[0.93806958 0.76175517 0.15255019 0.22778832 0.38651677 0.9477746 ],inf,inf
[0.76548742 0.09972122 0.00206983 0.21324228 0.49534674 0.59383427],inf,inf
[0.57762377 0.29384944 0.57830098 0.90873278 0.86447538 0.79746145],0.000570313,60.340909090909086
[0.06406377 0.76517439 0.51264982 0.42535824 0.56927764 0.61080764],0.000489101,62.8595041322314
[0.86413805 0.00427864 0.72590373 0.83851048 0.75189258 0.49894036],0.000574554,65.28719008264463
[0.59035663 0.51600931 0.86225686 0.06410501 0.88634569 0.77852321],0.000558243,61.654958677685954
[0.38810438 0.77746977 0.2952058  0.74537833 0.49918492 0.73245316],inf,inf
[0.82153195 0.86700124 0.32243078 0.27490605 0.03617361 0.10786928],inf,inf
[0.09370312 0.08981189 0.60194373 0.59923087 0.39518115 0.2770553 ],0.000441055,63.97520661157024
[0.1474552  0.47418439 0.75313639 0.66218397 0.65248695 0.06364052],0.000515278,71.15289256198348
